Malayalam,English
എന്തെങ്കിലും,Any
അവരുടെ,Their
വേണം,Should
അവൻ,He is
ഹേയ്,Hey
അവർ,They
എന്നോട്,Me
വലിയ,Large
അദ്ദേഹം,He is
പേര്,Name
വേഗം,Speed
നമ്മൾ,We
കുറച്ച്,A few
അവരെ,Them
കൂടി,Too
ശരിക്കും,Really
എവിടെ,Where
ഇന്ന് ,Today
അവളെ ,Her
ഹലോ ,Hello
എനിക്കറിയാം ,I know
വരെ ,Up
ഏറ്റവും ,Most
എങ്ങനെ ,How
മതി ,Enough
സമയം ,Time
അവളുടെ ,Her
നിങ്ങൾക്ക് ,You
ചെയ്തു ,Done
നന്നായി ,Well
അല്ലേ ,Not
എത്ര ,how many
പറ്റി ,About
വീണ്ടും ,Again
ഇപ്പൊ ,Far
ഓര് ,Urge
പറ്റില്ല ,Could not
ആര് ,Who
കുറച്ചു ,Decreased
വരും ,Will come
എന്നിട്ട് ,And then
ചെയ്യുന്നത് ,Doing
ഞങ്ങൾ ,We are
ഞങ്ങളുടെ ,Our
എല്ലാവരും ,Everybody
ഒരിക്കലും ,Never
ദിവസം ,Day
ഇങ്ങനെ ,Thus
അതു ,That
തിരിച്ചു ,Back
അവൾ ,She
അറിയാം ,Know
കേള് ,List
എനിക്കു ,To me
പണം ,Money
ഒരുപാട് ,A lot
അപ്പോള് ,Then
വന്നു ,Came
എന്തു ,What's
രാത്രി ,Night
അതുകൊണ്ട് ,and so
കണ്ടു ,Saw
ഇതാ ,Here is
ഞാനും ,me too
അല്ലെ ,Not
വഴി ,Way
ചെയ്യും ,Will do
നോക്കൂ ,Look
ആയിരുന്നു ,Was
പറയൂ ,Tell me
വേറെ ,Else
പോകുന്നു ,Going
എനിക്കറിയില്ല ,I do not know
പുതിയ ,New
ചെയ്യാന് ,To do
ക്ഷമിക്കണം ,Sorry
അവന്റെ ,His
നല്ലത് ,Good
അതിന് ,It
രണ്ടു ,Two
മുന് ,Former
രണ്ട് ,Two
അതേ ,Yes
ഇപ്പോൾ ,at this time
സർ ,Sir
അറിയില്ല ,Don't know
പറ ,tell
കൂടുതല് ,More
ശേഷം ,After
ആദ്യം ,First
കാണാന് ,Watch
ആണോ ,Is it
സാർ ,Sir
കഴിയില്ല ,Cannot
ആരും ,No one
അതാണ് ,That's what
ഞാനൊരു ,I
നാളെ ,Tomorrow
അയാളുടെ,His
കൊള്ളാം,Wow
പറയുന്നു,Says
കാണാം,see you
അപ്പൊ,All
മാര്,Mar
എന്നാല്,Mean
എന്നാൽ,But
ചെയ്തത്,What did
ഇതാണ്,This is what
താങ്കള്,You
പ്ലീസ്,Plement
പോകുന്നത്,Going
അമ്മ,Mother
ദയവായി,Please
അയാൾ,He is
അയാളെ,He
നാശം,Havoc
നിന്നോട്,You
എപ്പോഴും,every time
ഓക്കേ,Oak
ദൈവമേ,God
എന്തിനാ,Why
ചെറിയ,Small
അതൊരു,It is a
നാം,We
ച്ചയായും,As
എന്നാണ്,It means
കഴിഞ്ഞു,Over
പ്രശ്നം,Problem
വന്നത്,Come on
ചില,Some
കാര്യങ്ങള്,Things
എന്ന,Urban
അല്ലെങ്കില്,Otherwise
ജീവിതം,Life
പെട്ടെന്ന്,Suddenly
മാത്രമേ,Only only
സത്യം,The truth
അടുത്ത,Next
ഇപ്പോഴും,Still
മുഴുവന്,Full
കുറിച്ച്,About
സ്ഥലം,Station
വെച്ച്,Bewhat
ഓഹ്,Ow
എന്തോ,Something
ഉണ്ടോ,Or there
ഗുഡ്,Good
വെറുതെ,Just
പുറത്ത്,Out
കിട്ടി,Got it
ഉണ്ടായിരുന്നു,There was
വെറും,Just
സ്വയം,Self
ഒന്നുമില്ല,There is nothing
ആള്,Her
കഴിയും,Yes can
ആരാണ്,Who is
ആരെങ്കിലും,Whoever
ചെയ്യാൻ,To do
എനിക്കൊരു,I
നിമിഷം,Instant
മുമ്പ്,Before
കാണാൻ,To see
ഭക്ഷണം,Food
ത്ത്,Perform
കണ്ടോ,See you
സാര്,Sare
അതിനു,It
ഒക്കെ,Too
ആരാ,Who
സ്വന്തം,Own
പോകൂ,Go
ആയി,As
ക്കു,Re
ശരിയാണ്,All right
പറയാന്,To say
കൈ,Hand
അര്,Des
പോകും,Will go
ഉള്ള,Where
ഇങ്ങോട്ട്,Here
അച്ഛന്,Dad
എന്തായാലും,Anyway
നോക്കി,Looking
അത്ര,Not so
എന്നു,That
അപ്പോൾ,So
മൂന്ന്,Three
പോലീസ്,Police
എന്തിന്,Why
ഇതൊക്കെ,These
പറയാം,Say
പഴയ,old
വരുന്നു,Coming
കുട്ടി,Child
മരിച്ചു,Dead
പുറത്തു,Out
ചെയ്യുന്നു,Doing
പോകണം,Should go
ഓരോ,Each
എനിക്കും,And I too
സന്തോഷം,Pleasure
ഉവ്വ്,Yes
പറയും,Will say
അതില്,It
പണി,Work
കയ്യില്,Switch
ഇനിയും,And yet
ഇപ്പോ,Now
അടുത്ത്,Closely
മാത്രമാണ്,Only only
അതോ,Or
അതിന്റെ,Its
യുദ്ധം,Battle
നിങ്ങളോട്,To you
എന്തിനാണ്,Why
കിട്ടും,Get it
പോകാന്,Goon
വെള്ളം,Water
ചെയ്യണം,Should
ചെയ്യാം,Let us
ഞാനാണ്,I am
തരൂ,Give me
നീയും,You too
കഴിഞ്ഞ,Past
താഴെ,Below
പോവുകയാണ്,It is about to go
അവസാനം,End
ഹായ്,Hi
തീർച്ചയായും,of course
വരുന്നത്,Coming
വീട്,House
പെണ്,Female
തിരിച്ച്,Return
പരിഭാഷ,Translation
എങ്കില്,If
മാറി,Switched
ഒരാള്,A guy
ഇതെല്ലാം,All this
കാണും,Will see
നേരെ,And straight
ആണെന്ന്,That is
ഇവന്,He
അല്ലെങ്കിൽ,Or
ക്കാന്,Ail
തോന്നുന്നത്,Feeling
നിൽക്ക്,Stand
കരുതി,Thought
മറ്റൊരു,Another
ചിലപ്പോള്,Sometimes
ഞാനത്,I'm
മോനെ,Mon
എന്നും,And there is also
കുറെ,Some
കൊണ്ടു,Rocked
രാവിലെ,Morning
പറ്റും,Ball
ഒന്നു,One
കുഴപ്പമില്ല,It's ok
ശബ്ദം,Voice
അതും,That too
ഫോണ്,Phone
ബൈ,Bye
തുടങ്ങി,Started
ഇത്ര,So much
ലോകം,The world
അവർക്ക്,Them
ഇന്നലെ,Yesterday
ആന്,Ant
തകര്,Destroy
വാര്,Street
കൊല്ലും,Will kill
വിട്,Hatch
ഏയ്,Ai
സഹായം,Assistance
യാത്ര,Travel
പകരം,Instead
ഏത്,Which
ഞങ്ങൾക്ക്,We
നീയെന്താ,Why?
അതാ,Face
ചേര്,Cher
ചെയ്യ്,To do
ഇല്ലേ,Not at all
ഒരേ,Same
പിടിച്ചു,Hold
ഇത്രയും,So much
സമയത്ത്,on time
സോറി,Sorry
പറയണം,Say
ഉള്ളൂ,There is only
പാടില്ല,Should not be
മൂന്നു,Three
തല,head
കാണണം,Should see
ജര്,German
വിവാഹം,Marriage
എന്തുകൊണ്ട്,Why
ഭര്,Bharma
അതൊക്കെ,That way
ഹേ,Hey
ഡോക്ടര്,Doctor
ചോദ്യം,Q.
വെടി,Gun
വിട്ടു,Left
യഥാര്,Respect
മാഡം,Madam
പിന്നീട്,Since
നോക്കട്ടെ,Let's see
player,player
തമാശ,Fun
വാക്ക്,Word
പറ്റൂ,Potoo
ആയിരിക്കും,Would be
മുഖം,Face
ഒരാളെ,One
സാരമില്ല,There is no sense
മുതല്,From
ഉള്ളത്,There is
ആഹ്,ARE
തോക്ക്,Rifle
നിന്നു,Sticked
കേസ്,Case
പറയാൻ,To say
തോന്നി,Feeling
സാധനം,Goods
വരാന്,Come
മനസ്സിലായി,Roger that
നല്ലൊരു,A good
അങ്ങോട്ട്,Jer
കാശ്,Mites
മിനിറ്റ്,Minute
വരുന്നുണ്ട്,Is coming
പറഞ്ഞില്ലേ,Not
എങ്കിലും,Despite
കൊന്നു,Killed
വല്ല,Need
നാല്,Four
മിസ്റ്റർ,Mr
അങ്ങ്,You
മോളെ,Mole
കരുതുന്നു,Hopefully
സാധാരണ,Ordinary
കണ്ടിട്ട്,Just see
ബാക്കി,Balance
ഇവനെ,He
പറഞ്ഞ,Said
ഒരിക്കല്,Once
മാസം,Month
വല്ലതും,Anything
നടക്കുന്നത്,Walking
ആദ്യത്തെ,First
കാണിച്ചു,Showed
നിന്നാണ്,Is from
ഇത്തരം,Such
പോകാൻ,To go
നേരം,Ide
ഇരിക്ക്,Irik
അതെന്താ,What
നീയൊരു,You
പോകുന്നില്ല,Not going
സ്വപ്നം,Dream
അതിൽ,It
മോശം,Bad
ഇവര്,Ver they
വരില്ല,Will not come
മുകളില്,Over
പോയത്,Go
വീട്ടിലേക്ക്,To the house
കുട്ടിയെ,Child
വില്,Will
കാണുന്നത്,Seeing
നമ്പര്,Number
സ്വര്,Swar
മറ്റു,Other
ആളുകളെ,People
മരണം,Death
ഡോക്ടർ,Doctor
വില,Cost
നേരത്തെ,Formerly
വയ്യ,Cafe
അദ്ദേഹത്തിന്റെ,His
അവസാന,Last
കണ്ടെത്തി,Found
വിളിച്ചു,Called
നിങ്ങടെ,You
ചിലപ്പോ,Sometimes
ഉദ്ദേശിച്ചത്,Meant to
ഇല്ലാ,More
ദിവസവും,Daily
നിങ്ങളും,you also
അകത്തേക്ക്,In
ക്കാര്,Will
സ്ത്രീ,Woman
,#VALUE!
ഇതിനു,Self
അമ്മയെ,Mother
നശിച്ച,Ruined
പാവം,Poor
വൃത്തികെട്ട,Untidy
എന്താണെന്ന്,What is
എല്ലാരും,All
സംസാരിക്കുന്നത്,Talking
ഏതെങ്കിലും,Whatever
വിളിക്ക്,Call
കേട്ടു,Heard
എടാ,Can
മോനേ,More
മാറ്റി,Changed
അറിയുമോ,Do you know
അതൊന്നും,That's
വർഷം,Year
കുറേ,Many
അമ്മയുടെ,The mother's
ഞാനിവിടെ,I love it
ആളുകൾ,People
എടുക്ക്,Take
എങ്ങനെയാണ്,How is it
മറന്നു,Forgetful
എവിടെയാ,Everning
വണ്ടി,Cart
നീയാണ്,You are
പേരും,Name also
പോട്ടെ,Let go
പരസ്പരം,Each other
ആദ്യ,First
ധാരാളം,Plenty
ക്യാപ്റ്റന്,Captain
പൈസ,Paisa
പോവാം,Go to
ജീവന്,Life
സംസാരിക്കാം,Let's talk
ശക്തി,Power
തുറക്ക്,To open
പേടിക്കണ്ട,Don't be afraid
ഒരെണ്ണം,One
എല്ലാവര്,Everyone
നമ്മെ,Us
സംസാരിക്കണം,Should speak
ആരെയും,Who is anyone
പറ്റുന്നില്ല,Could not
മാന്,Deer
മകന്,The son
കണ്ടില്ലേ,Not
എത്തി,Arrived
അഞ്ച്,Five
അവസരം,Opportunity
തരും,Will give you
ത്താന്,To Thunder
പറ്റുമോ,Is or
ശരീരം,Trunk
ഭയങ്കര,Alarm
പറഞ്ഞാൽ,If speaking
ഇയാള്,He
എങ്ങനെയുണ്ട്,How are you
എങ്ങിനെ,How to
കല്യാണം,Wedding
എങ്കിൽ,Then
ഞാനിത്,I'm
അടുത്തേക്ക്,To the closer
വിളിക്കാം,Let's
തോന്നുന്നുണ്ടോ,Feeling
കടന്നു,Crossed
തെറ്റ്,Fault
പരിപാടി,Program
രക്തം,Blood
ഓകെ,Okay
സിനിമ,Movie
റിപ്പോര്,Cond
പതുക്കെ,Slowly
ഒപ്പം,And
എല്ലാവരെയും,Everyone
കണ്ടത്,Viewed
സ്ഥലത്ത്,In place
കരുതുന്നത്,Thinking
ശ്രമിച്ചു,Attempted
ഷങ്ങള്,Shrines
കൊണ്ടാണ്,Is because of
പറ്റിയ,Afford
ആവശ്യമില്ല,Not required
വല്ലാതെ,Virel
അകത്തു,Inside
ചായ,Tea
ഭാഗ്യം,Good luck
ജീവനോടെ,Alive
പിടിച്ച്,Hold
മേല്,On
പെട്ടന്ന്,Sudden
വരുന്ന,Coming
നിക്ക്,Nick
നിന്നുള്ള,From
താങ്കൾ,Thee
കാര്യമില്ല,Don't matter
വേണ്ടിയാണ്,It is for
മികച്ച,Preferable
ഞാനാ,Am I
തന്നു,Gave
സംസാരിക്കാന്,Speak
നുണ,Lie
ചെയ്യുക,Do
ദൂരെ,far
ചെയ്യുന്ന,Doing
ബന്ധം,Link
വിടൂ,Leave
ക്കണം,Must be
നമ്പർ,No.
എന്നിട്ടും,Yet
മൊത്തം,Sum
പോകുകയാണ്,Is going to
കുടുംബം,Family
അല്ലാതെ,Unless
അതുപോലെ,such as
കണ്ണ്,Eye
ഇഷ്ടമാണ്,Liking
ശരിയല്ലേ,Right
അവരോട്,To them
കഴിഞ്ഞ്,After
ആല്,Of
പറഞ്ഞിട്ടുണ്ട്,Have said
ചുമ്മാ,Rum
എന്തിനു,Why
കാല്,Leg
പോണം,Should
കയറി,Get up
പറഞ്ഞില്ല,Did not say
അതല്ല,That's not it
ആഗ്രഹിക്കുന്നു,Would like
ഇതിന്റെ,Of course
കണ്ടിട്ടില്ല,Not seen
പറഞ്ഞ്,Sayed
സമയമായി,It's time
ഇഷ്ടം,Option
കൊല്ലാന്,Raw
കാര്യമാണ്,It is something
നിയമം,Law
സുഖം,Fair
മരിക്കും,Will die
പ്രാര്,Preserve
അറസ്റ്റ്,Arrest
മുതൽ,Since
കയ്യിൽ,In hand
ഇതിനെ,This
വരണം,You need to come
മണിക്ക്,Manac
എൻറെ,My
കിട്ടിയത്,The
മോര്,More
നോക്കണം,Should look
അരുത്,Do not
തമ്മില്,Trunkst
അവളോട്,To her
പറഞ്ഞോ,Did you
സ്കൂളില്,In school
കൊടുക്ക്,Give
